Regiao;Cor_Raca;ANO;SEXO;POPULACAO_ANALFABETA
Sudeste;Negra;2002;FEMININO;1.154.789
Sul;Branca;2002;FEMININO;508.686
Sul;Negra;2002;FEMININO;226.588
Centro_Oeste;Branca;2002;FEMININO;160.777
Centro_Oeste;Negra;2002;FEMININO;273.661
Norte;Branca;2003;FEMININO;69.502
Norte;Negra;2003;FEMININO;294.311
Nordeste;Branca;2003;FEMININO;869.549
Nordeste;Negra;2003;FEMININO;2.994.469
Sudeste;Branca;2003;FEMININO;1.146.550
Sudeste;Negra;2003;FEMININO;1.170.627
Sul;Branca;2003;FEMININO;493.026
Sul;Negra;2003;FEMININO;210.497
Centro_Oeste;Branca;2003;FEMININO;147.719
Centro_Oeste;Negra;2003;FEMININO;280.041
Norte;Branca;2004;FEMININO;100.201
Norte;Negra;2004;FEMININO;474.440
Nordeste;Branca;2004;FEMININO;937.840
Nordeste;Negra;2004;FEMININO;2.878.637
Sudeste;Branca;2004;FEMININO;1.131.689
Sudeste;Negra;2004;FEMININO;1.149.850
Sul;Branca;2004;FEMININO;485.211
Sul;Negra;2004;FEMININO;224.107
Centro_Oeste;Branca;2004;FEMININO;141.401
Centro_Oeste;Negra;2004;FEMININO;276.400
Norte;Branca;2005;FEMININO;93.209
Norte;Negra;2005;FEMININO;429.860
Nordeste;Branca;2005;FEMININO;935.035
Nordeste;Negra;2005;FEMININO;2.842.954
Sudeste;Branca;2005;FEMININO;1.071.894
Sudeste;Negra;2005;FEMININO;1.191.159
Sul;Branca;2005;FEMININO;451.082
Sul;Negra;2005;FEMININO;237.449
Centro_Oeste;Branca;2005;FEMININO;158.246
Centro_Oeste;Negra;2005;FEMININO;285.446
Norte;Branca;2006;FEMININO;96.932
Norte;Negra;2006;FEMININO;451.099
Nordeste;Branca;2006;FEMININO;890.934
Nordeste;Negra;2006;FEMININO;2.728.315
Sudeste;Branca;2006;FEMININO;983.290
Sudeste;Negra;2006;FEMININO;1.149.163
Sul;Branca;2006;FEMININO;421.756
Sul;Negra;2006;FEMININO;225.209
Centro_Oeste;Branca;2006;FEMININO;136.767
Centro_Oeste;Negra;2006;FEMININO;276.246
Norte;Branca;2007;FEMININO;89.086
Norte;Negra;2007;FEMININO;444.853
Nordeste;Branca;2007;FEMININO;846.476
Nordeste;Negra;2007;FEMININO;2.751.526
Sudeste;Branca;2007;FEMININO;928.538
Sudeste;Negra;2007;FEMININO;1.096.401
Sul;Branca;2007;FEMININO;414.013
Sul;Negra;2007;FEMININO;229.423
Centro_Oeste;Branca;2007;FEMININO;122.006
Centro_Oeste;Negra;2007;FEMININO;280.309
Norte;Branca;2008;FEMININO;102.814
Norte;Negra;2008;FEMININO;453.693
Nordeste;Branca;2008;FEMININO;880.096
Nordeste;Negra;2008;FEMININO;2.692.999
Sudeste;Branca;2008;FEMININO;933.223
Sudeste;Negra;2008;FEMININO;1.139.552
Sul;Branca;2008;FEMININO;389.254
